n 10000, TimeSeries size 10000
0.216,-0.212944
-0.719,-0.594474
-0.558,-0.572045
-0.481,-0.440602
0.154,0.0907812
0.646,0.612313
-0.200,-0.368491
-0.362,-0.361083
0.473,0.306067
0.066,0.059158
0.608,0.628559
-0.078,-0.131354
-0.772,-0.980577
0.060,0.0261391
-0.602,-0.393052
-0.192,0.429725
-0.309,-0.296917
0.329,0.423888
-0.337,-0.364358
-0.039,-0.0374415
-0.518,-0.564864
-0.150,-0.159601
1.128,1.172
0.411,0.565088
0.432,0.439243
-0.342,-0.380397
-0.275,-0.311445
-0.381,-0.181316
0.183,0.184544
-2.341,-2.73432
0.870,0.886778
0.221,0.335767
0.759,0.0367635
0.001,0.367512
0.827,1.07425
-0.404,-0.464417
-0.849,-0.856595
0.685,0.698084
0.319,0.132376
-2.331,-2.10867
1.324,1.43371
1.653,1.65498
0.519,0.338048
1.183,1.19459
1.820,1.78386
1.055,1.00687
1.240,1.31911
-0.743,-0.583371
-0.855,-0.762265
1.569,1.55618
-0.584,-0.394134
-0.418,-0.559253
1.585,1.61198
-1.277,-1.30074
0.280,0.256396
0.522,0.518448
-0.206,-0.203804
0.847,0.354328
-2.404,-2.47961
-1.297,-0.815171
1.123,1.09802
-0.353,-0.548939
0.811,0.942992
0.888,0.725172
1.026,1.07699
0.906,0.908443
-0.855,-0.85247
-0.177,-0.363022
-1.276,-1.19201
1.797,1.82955
0.323,0.462415
-0.069,-0.0891911
-0.240,-0.344337
0.999,0.855021
0.996,1.0849
0.100,0.0892768
2.311,2.33248
1.141,1.13255
0.081,-0.0341313
-0.289,-0.195812
1.208,0.36735
0.957,0.955803
-0.366,-0.338496
0.003,1.27976
1.982,1.60359
-0.590,-0.582445
-1.446,-1.2594
0.022,0.0153229
0.498,0.545844
-0.640,-0.730444
0.462,0.448737
1.551,1.4494
0.663,0.74455
-0.005,0.0467098
0.271,0.606393
1.027,0.992353
-0.138,-0.245145
1.758,1.62794
-0.655,-0.537644
-0.419,-0.34853
1.661,1.50402
-0.557,-0.480715
-0.851,-0.874016
1.400,1.35619
0.952,0.980165
0.912,0.869207
0.731,0.97666
-0.385,-0.971498
-0.105,0.458778
0.484,0.628262
